# RS;CS;LS;MS;PS
4.970928571428568365e-01;5.305979591836732512e-01;5.791255102040813174e-01;5.498999999999998334e-01;5.411244897959182065e-01
4.581753615702479632e-01;5.848870092975206880e-01;6.495202737603303911e-01;5.000000000000000000e-01;5.947746642561988484e-01
5.113915889704423456e-01;5.384864114263041568e-01;6.072525292600673419e-01;5.021830985915490819e-01;5.553243404086490864e-01
4.417828798185942651e-01;6.015221088435375174e-01;7.045039682539685488e-01;5.242346938775509502e-01;6.914002267573698957e-01
4.972418212890625244e-01;5.608950805664062456e-01;6.228198242187500400e-01;5.474206542968750311e-01;5.373211669921874600e-01
5.064967860422405765e-01;6.579247015610654170e-01;7.682460973370062174e-01;5.553627180899907145e-01;6.394903581267218362e-01
4.921093479014915784e-01;6.075608451844145552e-01;5.872702046479361115e-01;5.937018730489070917e-01;5.575907619377961089e-01
5.011657214870823829e-01;5.696996429321571354e-01;5.999443394244909911e-01;5.819628229363577043e-01;5.736347406007140659e-01
5.538696670135274669e-01;5.774635796045782810e-01;5.715556711758584818e-01;4.506308532778359743e-01;5.404838709677420860e-01
5.204770886776320937e-01;6.137986016799960032e-01;5.821681504954479003e-01;5.825114430863638226e-01;5.551931492379660327e-01
5.065753086419753082e-01;7.128864197530863089e-01;7.079604938271601977e-01;7.355876543209874940e-01;6.107432098765431805e-01
5.166683197778216829e-01;5.690388811743699593e-01;5.392531243800831042e-01;5.183138266217021117e-01;5.540517754413806228e-01
5.291076257436453378e-01;5.826203353163872389e-01;5.721281773931857773e-01;5.151649540292051466e-01;5.833829096809086678e-01
4.784011038065092425e-01;6.281551822092364956e-01;6.084169304439576154e-01;6.214045126207289327e-01;6.109658306955604301e-01
5.324353027343750044e-01;5.870996093750000533e-01;5.425683593750000311e-01;5.522558593749999911e-01;5.809448242187500444e-01
4.662791955017299705e-01;6.318804065743944820e-01;6.292549740484426612e-01;6.235110294117645058e-01;5.665278979238754786e-01
4.842819354285222699e-01;5.932094140524464265e-01;5.812739855300408376e-01;5.367106580113814029e-01;5.330720066344476482e-01
4.934217608612073147e-01;6.468512110726644115e-01;6.271011149557864650e-01;6.509515570934253370e-01;6.646020761245672315e-01
4.953719135125653761e-01;6.405183983158635463e-01;6.823551598614092661e-01;5.874577869391693907e-01;5.968878557957982833e-01
4.832523148148146763e-01;5.949855324074075913e-01;6.458198302469133623e-01;5.146971450617285893e-01;5.794907407407410282e-01
4.781776147959184708e-01;6.390066964285712192e-01;6.218096301020408223e-01;5.000000000000000000e-01;6.020631377551018959e-01
5.141913223140496259e-01;5.541859504132231606e-01;6.133028925619835592e-01;6.398446280991736401e-01;5.284504132231405693e-01
5.476276816608995901e-01;6.242297577854674095e-01;6.155647058823529028e-01;5.513294117647059567e-01;5.016394463667820380e-01
5.322783801020405381e-01;6.024059311224490010e-01;6.380819515306119794e-01;6.369403698979594353e-01;5.608976403061225469e-01
5.064049586776858680e-01;5.664876033057851812e-01;5.950892561983470719e-01;5.822661157024792145e-01;4.970132231404958967e-01
4.654186872481384518e-01;6.366631377638138911e-01;6.722932176763883882e-01;4.991950686428521244e-01;5.704364455979782367e-01
5.091551882460975120e-01;5.896108815426995831e-01;6.150872359963268643e-01;5.466689623507806628e-01;5.792286501377410524e-01
4.799932813759741901e-01;5.997890352055896823e-01;7.082370330556301274e-01;5.000000000000000000e-01;5.899650631550656943e-01
5.054661810613945150e-01;6.662784599375654038e-01;6.940609781477631302e-01;5.624795005202914977e-01;5.817292403746097129e-01
4.911045722046174511e-01;5.299705749207787031e-01;7.044296061566320821e-01;6.070529651425982109e-01;5.815459483929378282e-01
4.935822801246538827e-01;5.313162222991687500e-01;6.232310422437672415e-01;5.458885907202215559e-01;5.562815962603875342e-01
4.944836108220604931e-01;5.051544614984390114e-01;5.112057752341310213e-01;5.067689906347553341e-01;5.043167924037459393e-01
5.296660843859176682e-01;5.632901101854342896e-01;5.684903251814029668e-01;5.000000000000000000e-01;5.263561542596076892e-01
